component	pypi_package	version	wheel_subdir	extract
runtime	nvidia_cuda_runtime	13.3.29	cu13	lib,include
cublas	nvidia_cublas	13.6.0.2	cu13	lib,include
cupti	nvidia_cuda_cupti	13.3.75	cu13	lib,include
nvrtc	nvidia_cuda_nvrtc	13.3.33	cu13	lib,include
cufft	nvidia_cufft	12.3.0.29	cu13	lib,include
cusolver	nvidia_cusolver	12.2.6.9	cu13	lib,include
cusparse	nvidia_cusparse	12.8.2.51	cu13	lib,include
nvjitlink	nvidia_nvjitlink	13.3.33	cu13	lib,include
nvcc	nvidia_cuda_nvcc	13.3.73	cu13	bin,include
nvvm	nvidia_nvvm	13.3.73	cu13	lib,nvvm
cudnn	nvidia_cudnn_cu13	9.25.1.1	cudnn	lib,include
nccl	nvidia_nccl_cu13	2.31.2	nccl	lib,include
